model,class,class_id,n,correct,accuracy,error_rate
align,govt_critique,0,39,18,0.4615,0.5385
align,neutral,1,29,15,0.5172,0.4828
align,govt_leaning,2,18,9,0.5,0.5
bangla_electra,govt_critique,0,103,14,0.1359,0.8641
bangla_electra,neutral,1,53,30,0.566,0.434
bangla_electra,govt_leaning,2,42,30,0.7143,0.2857
banglabert,govt_critique,0,103,73,0.7087,0.2913
banglabert,neutral,1,53,21,0.3962,0.6038
banglabert,govt_leaning,2,42,20,0.4762,0.5238
banglabert_frozen,govt_critique,0,103,54,0.5243,0.4757
banglabert_frozen,neutral,1,53,16,0.3019,0.6981
banglabert_frozen,govt_leaning,2,42,19,0.4524,0.5476
banglabert_no_aug,govt_critique,0,103,73,0.7087,0.2913
banglabert_no_aug,neutral,1,53,21,0.3962,0.6038
banglabert_no_aug,govt_leaning,2,42,20,0.4762,0.5238
blip,govt_critique,0,39,24,0.6154,0.3846
blip,neutral,1,29,11,0.3793,0.6207
blip,govt_leaning,2,18,2,0.1111,0.8889
blip_unfrozen,govt_critique,0,39,15,0.3846,0.6154
blip_unfrozen,neutral,1,29,17,0.5862,0.4138
blip_unfrozen,govt_leaning,2,18,6,0.3333,0.6667
clip,govt_critique,0,39,37,0.9487,0.0513
clip,neutral,1,29,13,0.4483,0.5517
clip,govt_leaning,2,18,3,0.1667,0.8333
clip_unfrozen,govt_critique,0,39,29,0.7436,0.2564
clip_unfrozen,neutral,1,29,19,0.6552,0.3448
clip_unfrozen,govt_leaning,2,18,4,0.2222,0.7778
countvec_vit,govt_critique,0,39,22,0.5641,0.4359
countvec_vit,neutral,1,29,14,0.4828,0.5172
countvec_vit,govt_leaning,2,18,4,0.2222,0.7778
flava,govt_critique,0,39,23,0.5897,0.4103
flava,neutral,1,29,11,0.3793,0.6207
flava,govt_leaning,2,18,0,0.0,1.0
majority,govt_critique,0,103,103,1.0,0.0
majority,neutral,1,53,0,0.0,1.0
majority,govt_leaning,2,42,0,0.0,1.0
mbert,govt_critique,0,103,59,0.5728,0.4272
mbert,neutral,1,53,19,0.3585,0.6415
mbert,govt_leaning,2,42,25,0.5952,0.4048
mt5,govt_critique,0,103,74,0.7184,0.2816
mt5,neutral,1,53,3,0.0566,0.9434
mt5,govt_leaning,2,42,19,0.4524,0.5476
tfidf_logreg,govt_critique,0,103,68,0.6602,0.3398
tfidf_logreg,neutral,1,53,27,0.5094,0.4906
tfidf_logreg,govt_leaning,2,42,14,0.3333,0.6667
tfidf_logreg_no_aug,govt_critique,0,103,68,0.6602,0.3398
tfidf_logreg_no_aug,neutral,1,53,27,0.5094,0.4906
tfidf_logreg_no_aug,govt_leaning,2,42,14,0.3333,0.6667
vilt,govt_critique,0,39,20,0.5128,0.4872
vilt,neutral,1,29,8,0.2759,0.7241
vilt,govt_leaning,2,18,4,0.2222,0.7778
xlmr,govt_critique,0,103,34,0.3301,0.6699
xlmr,neutral,1,53,20,0.3774,0.6226
xlmr,govt_leaning,2,42,30,0.7143,0.2857
